id_actividad,disciplina,descripcion,unidad,cantidad_planificada,cantidad_ejecutada,peso_presupuesto_usd,avance_planificado_pct,costo_real_usd
STAP-CIV-001,Civil,Formaleta y encofrado — Área 100 (Recepción),m2,1017,984,22598,1.0,21822
STAP-CIV-002,Civil,Relleno y compactación — Área 300 (Tratamiento),m3,8227,8046,72809,1.0,79489
STAP-CIV-003,Civil,Drenajes y obras hidráulicas — Área 200 (Separación),m,537,426,27059,0.9,23256
STAP-CIV-004,Civil,Movimiento de tierras - excavación — Área 100 (Recepción),m3,3408,2796,23277,0.9,18386
STAP-CIV-005,Civil,Concreto para pedestales de equipos — Área 100 (Recepción),m3,63,67,20251,1.0,17941
STAP-CIV-006,Civil,Drenajes y obras hidráulicas — Área 600 (Servicios),m,807,687,41415,0.93,39342
STAP-CIV-007,Civil,Drenajes y obras hidráulicas — Área 400 (Bombeo),m,553,482,23309,1.0,21862
STAP-CIV-008,Civil,Movimiento de tierras - excavación — Área 200 (Separación),m3,5622,4385,28953,0.92,24135
STAP-CIV-009,Civil,Acero de refuerzo — Área 100 (Recepción),kg,35468,27268,47882,0.89,39446
STAP-CIV-010,Civil,Drenajes y obras hidráulicas — Área 600 (Servicios),m,1563,1489,65224,1.0,64127
STAP-CIV-011,Civil,Concreto para cimentación — Área 600 (Servicios),m3,255,220,76520,0.96,67110
STAP-CIV-012,Civil,Concreto para pedestales de equipos — Área 600 (Servicios),m3,135,127,36570,1.0,36588
STAP-CIV-013,Civil,Relleno y compactación — Área 200 (Separación),m3,6123,5431,39738,0.97,38540
STAP-CIV-014,Civil,Pavimento rígido y vías internas — Área 300 (Tratamiento),m2,3386,2687,159210,0.92,141293
STAP-CIV-015,Civil,Pavimento rígido y vías internas — Área 300 (Tratamiento),m2,2998,2488,162791,0.93,152165
STAP-CIV-016,Civil,Acero de refuerzo — Área 600 (Servicios),kg,24280,23123,44432,1.0,42192
STAP-CIV-017,Civil,Concreto para pedestales de equipos — Área 500 (Inyección),m3,60,45,19442,0.93,14322
STAP-CIV-018,Civil,Pavimento rígido y vías internas — Área 300 (Tratamiento),m2,2006,1696,101704,1.0,93617
STAP-CIV-019,Civil,Drenajes y obras hidráulicas — Área 400 (Bombeo),m,599,481,18437,0.89,15595
STAP-CIV-020,Civil,Concreto para cimentación — Área 400 (Bombeo),m3,500,469,126100,1.0,111896
STAP-CIV-021,Civil,Estructura metálica de soporte — Área 100 (Recepción),kg,8569,7657,26135,0.99,22320
STAP-CIV-022,Civil,Diques y muros de contención — Área 300 (Tratamiento),m3,706,651,193211,1.0,181164
STAP-CIV-023,Civil,Formaleta y encofrado — Área 500 (Inyección),m2,1834,1738,45300,1.0,46766
STAP-CIV-024,Civil,Pavimento rígido y vías internas — Área 300 (Tratamiento),m2,881,681,46473,0.96,35338
STAP-CIV-025,Civil,Pavimento rígido y vías internas — Área 100 (Recepción),m2,3455,2923,170953,0.99,142442
STAP-CIV-026,Civil,Acero de refuerzo — Área 600 (Servicios),kg,50410,43250,84185,0.95,80759
STAP-CIV-027,Civil,Pavimento rígido y vías internas — Área 600 (Servicios),m2,1765,1683,89062,1.0,96081
STAP-CIV-028,Civil,Formaleta y encofrado — Área 300 (Tratamiento),m2,492,385,14258,0.89,12528
STAP-CIV-029,Civil,Concreto para cimentación — Área 100 (Recepción),m3,775,729,192440,1.0,179002
STAP-CIV-030,Civil,Concreto para pedestales de equipos — Área 200 (Separación),m^3,113,112,31012,1.0,30718
STAP-CIV-031,Civil,Estructura metálica de soporte — Área 400 (Bombeo),kg,31621,27588,94863,0.92,91522
STAP-CIV-032,Civil,Relleno y compactación — Área 500 (Inyección),m3,2862,2812,24098,1.0,22679
STAP-CIV-033,Civil,Acero de refuerzo — Área 500 (Inyección),kg,16973,16668,31400,1.0,30107
STAP-CIV-034,Civil,Acero de refuerzo — Área 300 (Tratamiento),kg,54294,47885,84156,1.0,83408
STAP-CIV-035,Civil,Estructura metálica de soporte — Área 200 (Separación),kg,21122,18212,45412,1.0,39496
STAP-CIV-036,Civil,Concreto para cimentación — Área 100 (Recepción),m3,387,312,119448,0.87,103236
STAP-CIV-037,Civil,Pavimento rígido y vías internas — Área 300 (Tratamiento),m2,3013,2992,122117,1.0,130959
STAP-CIV-038,Civil,Movimiento de tierras - excavación — Área 300 (Tratamiento),m3,4386,3409,29693,0.95,25526
STAP-CIV-039,Civil,Drenajes y obras hidráulicas — Área 600 (Servicios),m,1605,1485,82593,1.0,74789
STAP-CIV-040,Civil,Diques y muros de contención — Área 600 (Servicios),m3,752,732,194565,1.0,183459
STAP-CIV-041,Civil,Movimiento de tierras - excavación — Área 600 (Servicios),m3,9481,8952,83907,0.98,89510
STAP-CIV-042,Civil,Diques y muros de contención — Área 400 (Bombeo),m3,521,407,119882,0.91,98703
STAP-CIV-043,Civil,Relleno y compactación — Área 100 (Recepción),m3,5444,4134,50793,0.91,42423
STAP-CIV-044,Civil,Concreto para pedestales de equipos — Área 400 (Bombeo),m3,57,56,21076,1.0,22771
STAP-CIV-045,Civil,Concreto para cimentación — Área 100 (Recepción),m3,262,238,71568,1.0,61893
STAP-CIV-046,Civil,Relleno y compactación — Área 500 (Inyección),m3,1501,1290,13509,1.0,11633
STAP-CIV-047,Civil,Relleno y compactación — Área 100 (Recepción),m3,4478,3470,41332,0.86,33183
STAP-CIV-048,Civil,Concreto para pedestales de equipos — Área 600 (Servicios),m3,197,194,59486,1.0,59044
STAP-CIV-049,Civil,Acero de refuerzo — Área 400 (Bombeo),kg,30766,24549,51995,0.88,40851
STAP-CIV-050,Civil,Relleno y compactación — Área 400 (Bombeo),m3,2444,2316,25418,0.99,23729
STAP-CIV-051,Civil,Pavimento rígido y vías internas — Área 200 (Separación),m2,2581,2283,110828,1.0,104437
STAP-CIV-052,Civil,Relleno y compactación — Área 300 (Tratamiento),m3,7641,6263,60287,0.91,48226
STAP-CIV-053,Civil,Pavimento rígido y vías internas — Área 500 (Inyección),m2,3994,3834,199700,1.0,217256
STAP-CIV-054,Civil,Movimiento de tierras - excavación — Área 500 (Inyección),m3,5362,4727,48633,1.0,43891
STAP-CIV-055,Civil,Formaleta y encofrado — Área 100 (Recepción),m2,1000,757,25880,0.86,20812
STAP-CIV-056,Civil,Diques y muros de contención — Área 100 (Recepción),m3,425,388,125281,0.96,116957
STAP-CIV-057,Civil,Acero de refuerzo — Área 200 (Separación),kg,41973,33517,63379,0.98,53600
STAP-CIV-058,Civil,Formaleta y encofrado — Área 500 (Inyección),m2,1312,1196,31396,0.96,27871
STAP-CIV-059,Civil,Formaleta y encofrado — Área 200 (Separación),m2,1313,1060,32733,0.92,30019
STAP-CIV-060,Civil,Concreto para pedestales de equipos — Área 200 (Separación),m3,142,120,48632,0.96,40340
STAP-CIV-061,Civil,Concreto para pedestales de equipos — Área 600 (Servicios),m3,172,159,54171,1.0,54255
STAP-CIV-062,Civil,Movimiento de tierras - excavación — Área 400 (Bombeo),m3,2457,2065,20590,0.94,18377
STAP-CIV-063,Civil,Acero de refuerzo — Área 300 (Tratamiento),kg,20690,15552,36208,0.84,30434
STAP-CIV-064,Civil,Pavimento rígido y vías internas — Área 300 (Tratamiento),m2,3911,3760,213345,1.0,225633
STAP-CIV-065,Civil,Formaleta y encofrado — Área 200 (Separación),m2,729,637,14631,0.95,14424
STAP-CIV-066,Civil,Pavimento rígido y vías internas — Área 400 (Bombeo),m2,1405,1323,61005,1.0,55596
STAP-CIV-067,Civil,Drenajes y obras hidráulicas — Área 600 (Servicios),m,307,266,12197,0.95,11049
STAP-CIV-068,Civil,Formaleta y encofrado — Área 100 (Recepción),m2,747,726,20669,1.0,21355
STAP-CIV-069,Civil,Estructura metálica de soporte — Área 200 (Separación),kg,19062,17268,47846,1.0,48614
STAP-CIV-070,Civil,Estructura metálica de soporte — Área 600 (Servicios),kg,27791,27072,57805,1.0,62432
STAP-CIV-071,Civil,Estructura metálica de soporte — Área 100 (Recepción),kg,36353,35539,88338,1.0,89730
STAP-CIV-072,Civil,Concreto para cimentación — Área 100 (Recepción),m3,324,291,112085,1.0,109653
STAP-CIV-073,Civil,Concreto para cimentación — Área 600 (Servicios),m3,754,576,253419,0.81,217615
STAP-CIV-074,Civil,Concreto para cimentación — Área 400 (Bombeo),m3,776,698,254039,1.0,228635
STAP-CIV-075,Civil,Formaleta y encofrado — Área 200 (Separación),m2,1038,963,25047,1.0,25146
STAP-CIV-076,Civil,Movimiento de tierras - excavación — Área 600 (Servicios),m3,2233,1926,18802,1.0,15517
STAP-CIV-077,Civil,Relleno y compactación — Área 200 (Separación),m3,5813,4816,57549,0.89,45510
STAP-CIV-078,Civil,Estructura metálica de soporte — Área 200 (Separación),kg,18766,14447,54421,0.84,43041
STAP-CIV-079,Civil,Movimiento de tierras - excavación — Área 500 (Inyección),m3,6126,4887,36021,0.94,28179
STAP-CIV-080,Civil,Concreto para pedestales de equipos — Área 500 (Inyección),m3,190,167,56308,0.99,49807
STAP-CIV-081,Civil,Estructura metálica de soporte — Área 600 (Servicios),kg,14590,12080,29909,0.98,24848
STAP-CIV-082,Civil,Formaleta y encofrado — Área 500 (Inyección),m2,2276,2184,58129,1.0,60679
STAP-CIV-083,Civil,Estructura metálica de soporte — Área 200 (Separación),kg,38876,33457,82806,0.92,70147
STAP-CIV-084,Civil,Diques y muros de contención — Área 400 (Bombeo),m3,642,494,120580,0.82,89264
STAP-CIV-085,Civil,Concreto para cimentación — Área 200 (Separación),m3,773,661,182196,1.0,154473
STAP-CIV-086,Civil,Concreto para cimentación — Área 600 (Servicios),m3,294,262,84681,1.0,78801
STAP-CIV-087,Civil,Relleno y compactación — Área 600 (Servicios),m3,6058,5119,39377,1.0,36917
STAP-CIV-088,Civil,Diques y muros de contención — Área 100 (Recepción),m3,663,548,164179,1.0,129168
STAP-CIV-089,Civil,Diques y muros de contención — Área 300 (Tratamiento),m3,178,137,37991,0.92,29538
STAP-CIV-090,Civil,Movimiento de tierras - excavación — Área 400 (Bombeo),m3,14652,11706,78828,0.93,63578
STAP-CIV-091,Civil,Diques y muros de contención — Área 100 (Recepción),m3,148,128,40024,0.96,38041
STAP-CIV-092,Civil,Pavimento rígido y vías internas — Área 500 (Inyección),m2,1933,1806,93789,1.0,83402
STAP-CIV-093,Civil,Drenajes y obras hidráulicas — Área 300 (Tratamiento),m,2397,2176,78622,0.99,76648
STAP-CIV-094,Civil,Pavimento rígido y vías internas — Área 400 (Bombeo),m2,2681,2430,126141,1.0,120303
STAP-CIV-095,Civil,Diques y muros de contención — Área 300 (Tratamiento),m3,373,315,98345,0.96,88212
STAP-CIV-096,Civil,Diques y muros de contención — Área 200 (Separación),m3,327,311,91347,1.0,82512
STAP-CIV-097,Civil,Estructura metálica de soporte — Área 300 (Tratamiento),kg,13970,11158,33807,0.85,30119
STAP-CIV-098,Civil,Relleno y compactación — Área 100 (Recepción),m3,6998,6308,51645,1.0,44938
STAP-CIV-099,Civil,Concreto para pedestales de equipos — Área 100 (Recepción),m3,211,176,61985,1.0,51942
STAP-CIV-100,Civil,Concreto para cimentación — Área 300 (Tratamiento),m3,883,672,271055,0.92,208097
STAP-CIV-101,Civil,Concreto para cimentación — Área 400 (Bombeo),m3,409,377,136463,1.0,126029
STAP-CIV-102,Civil,Concreto para pedestales de equipos — Área 400 (Bombeo),m3,64,53,19482,0.98,15922
STAP-CIV-103,Civil,Concreto para cimentación — Área 200 (Separación),m3,833,749,273249,1.0,271317
STAP-CIV-104,Civil,Estructura metálica de soporte — Área 400 (Bombeo),kg,39790,39258,96690,1.0,106888
STAP-CIV-105,Civil,Concreto para pedestales de equipos — Área 600 (Servicios),m3,131,100,38714,0.94,33122
STAP-CIV-106,Civil,Formaleta y encofrado — Área 400 (Bombeo),m2,479,372,10308,0.93,8423
STAP-CIV-107,Civil,Pavimento rígido y vías internas — Área 300 (Tratamiento),m2,3480,3015,130430,1.0,126396
STAP-CIV-108,Civil,Diques y muros de contención — Área 100 (Recepción),m3,758,718,165744,1.0,155239
STAP-CIV-109,Civil,Relleno y compactación — Área 100 (Recepción),m3,7958,7590,58253,1.0,56901
STAP-CIV-110,Civil,Relleno y compactación — Área 200 (Separación),m3,3675,3212,27710,0.92,27114
STAP-CIV-111,Civil,Acero de refuerzo — Área 400 (Bombeo),kg,57530,56538,76515,1.0,84167
STAP-CIV-112,Civil,Acero de refuerzo — Área 500 (Inyección),kg,34604,28577,46715,0.98,39353
STAP-CIV-113,Civil,Drenajes y obras hidráulicas — Área 100 (Recepción),m,2325,1832,105113,0.87,82001
STAP-CIV-114,Civil,Acero de refuerzo — Área 200 (Separación),kg,11770,11362,21539,1.0,20861
STAP-CIV-115,Civil,Estructura metálica de soporte — Área 100 (Recepción),kg,10745,10164,24499,1.0,23846
STAP-CIV-116,Civil,Relleno y compactación — Área 500 (Inyección),m3,8066,7082,60334,0.98,51034
STAP-CIV-117,Civil,Concreto para pedestales de equipos — Área 100 (Recepción),m3,57,45,16502,0.89,12458
STAP-CIV-118,Civil,Pavimento rígido y vías internas — Área 500 (Inyección),m2,647,590,28112,1.0,26676
STAP-CIV-119,Civil,Estructura metálica de soporte — Área 100 (Recepción),kg,23554,20872,62889,0.95,53483
STAP-CIV-120,Civil,Diques y muros de contención — Área 100 (Recepción),m3,846,725,179614,0.91,166245
STAP-CIV-121,Civil,Concreto para cimentación — Área 200 (Separación),m3,418,321,100688,0.91,81301
STAP-CIV-122,Civil,Acero de refuerzo — Área 200 (Separación),kg,49200,39463,71832,0.91,57305
STAP-CIV-123,Civil,Acero de refuerzo — Área 200 (Separación),kg,37208,37100,59905,1.0,65554
STAP-CIV-124,Civil,Acero de refuerzo — Área 300 (Tratamiento),kg,30741,30527,56563,1.0,53086
STAP-CIV-125,Civil,Movimiento de tierras - excavación — Área 500 (Inyección),m3,2251,1786,11323,0.85,8655
STAP-CIV-126,Civil,Diques y muros de contención — Área 200 (Separación),m3,314,272,76315,1.0,63870
STAP-CIV-127,Civil,Pavimento rígido y vías internas — Área 600 (Servicios),m2,1035,837,51098,0.93,42914
STAP-CIV-128,Civil,Estructura metálica de soporte — Área 400 (Bombeo),kg,38440,36267,99560,1.0,100132
STAP-CIV-129,Civil,Diques y muros de contención — Área 200 (Separación),m3,435,411,114135,1.0,117587
STAP-CIV-130,Civil,Formaleta y encofrado — Área 600 (Servicios),m2,1213,994,33527,0.9,28925
STAP-CIV-131,Civil,Concreto para cimentación — Área 100 (Recepción),m3,564,459,194879,0.9,155304
STAP-CIV-132,Civil,Concreto para cimentación — Área 600 (Servicios),m3,164,141,39877,0.93,38128
STAP-CIV-133,Civil,Acero de refuerzo — Área 100 (Recepción),kg,36229,29305,49271,0.89,43433
STAP-CIV-134,Civil,Estructura metálica de soporte — Área 300 (Tratamiento),kg,39157,38252,106899,1.0,110725
STAP-CIV-135,Civil,Drenajes y obras hidráulicas — Área 100 (Recepción),m,1292,990,58153,0.85,47384
STAP-CIV-136,Civil,Pavimento rígido y vías internas — Área 400 (Bombeo),m2,1359,1103,54455,0.94,44532
STAP-CIV-137,Civil,Movimiento de tierras - excavación — Área 300 (Tratamiento),m3,6312,5759,41217,0.97,36432
STAP-CIV-138,Civil,Diques y muros de contención — Área 300 (Tratamiento),m3,451,391,96054,0.91,93245
STAP-CIV-139,Civil,Concreto para pedestales de equipos — Área 300 (Tratamiento),m3,131,98,36735,0.93,30667
STAP-CIV-140,Civil,Estructura metálica de soporte — Área 500 (Inyección),kg,11497,9287,28857,0.92,22834
STAP-CIV-141,Civil,Concreto para pedestales de equipos — Área 100 (Recepción),m3,103,87,32577,1.0,27541
STAP-CIV-142,Civil,Relleno y compactación — Área 200 (Separación),m3,3664,2961,37519,0.86,32388
STAP-CIV-143,Civil,Estructura metálica de soporte — Área 100 (Recepción),kg,44456,40016,90246,1.0,87597
STAP-CIV-144,Civil,Acero de refuerzo — Área 100 (Recepción),kg,27938,22310,47774,0.85,42951
STAP-CIV-145,Civil,Drenajes y obras hidráulicas — Área 200 (Separación),m,2467,2166,120858,0.95,109773
STAP-CIV-146,Civil,Drenajes y obras hidráulicas — Área 600 (Servicios),m,1895,1707,88667,1.0,77496
STAP-CIV-147,Civil,Pavimento rígido y vías internas — Área 500 (Inyección),m2,1212,1110,51425,0.96,52900
STAP-CIV-148,Civil,Concreto para cimentación — Área 600 (Servicios),m3,194,176,63475,1.0,62207
STAP-CIV-149,Civil,Diques y muros de contención — Área 600 (Servicios),m3,762,638,177980,0.88,166312
STAP-CIV-150,Civil,Diques y muros de contención — Área 500 (Inyección),m3,262,219,75228,0.88,63835
STAP-CIV-151,Civil,Drenajes y obras hidráulicas — Área 500 (Inyección),m,365,365,17640,1.0,19794
STAP-CIV-152,Civil,Concreto para pedestales de equipos — Área 200 (Separación),m3,61,46,16074,0.91,12988
STAP-CIV-153,Civil,Formaleta y encofrado — Área 400 (Bombeo),m2,829,811,18238,1.0,19220
STAP-CIV-154,Civil,Diques y muros de contención — Área 600 (Servicios),m3,171,163,43723,1.0,39786
STAP-CIV-155,Civil,Diques y muros de contención — Área 300 (Tratamiento),m3,817,689,174013,0.98,139963
STAP-CIV-156,Civil,Movimiento de tierras - excavación — Área 600 (Servicios),m3,9486,7299,79777,0.81,65028
STAP-CIV-157,Civil,Diques y muros de contención — Área 500 (Inyección),m3,668,584,130915,0.99,117076
STAP-CIV-158,Civil,Relleno y compactación — Área 300 (Tratamiento),m3,7609,6483,74873,1.0,69969
STAP-CIV-159,Civil,Relleno y compactación — Área 600 (Servicios),m3,8431,7723,63317,0.98,61279
STAP-CIV-160,Civil,Concreto para pedestales de equipos — Área 400 (Bombeo),m3,99,87,33906,1.0,29423
STAP-CIV-161,Civil,Pavimento rígido y vías internas — Área 600 (Servicios),m2,2166,1840,83543,0.93,74966
STAP-CIV-162,Civil,Acero de refuerzo — Área 600 (Servicios),kg,58264,58093,73995,1.0,81082
STAP-CIV-163,Civil,Concreto para pedestales de equipos — Área 300 (Tratamiento),m3,59,54,19285,1.0,17662
STAP-CIV-164,Civil,Acero de refuerzo — Área 300 (Tratamiento),kg,50698,38674,90749,0.92,66754
STAP-CIV-165,Civil,Drenajes y obras hidráulicas — Área 100 (Recepción),m,846,821,23832,1.0,22160
STAP-CIV-166,Civil,Pavimento rígido y vías internas — Área 100 (Recepción),m2,1700,1283,93857,0.92,77853
STAP-CIV-167,Civil,Concreto para pedestales de equipos — Área 600 (Servicios),m3,212,202,66693,1.0,62488
STAP-CIV-168,Civil,Diques y muros de contención — Área 400 (Bombeo),m3,412,349,97858,0.95,79112
STAP-CIV-169,Civil,Relleno y compactación — Área 300 (Tratamiento),m3,8820,8692,78586,1.0,87468
STAP-CIV-170,Civil,Relleno y compactación — Área 400 (Bombeo),m3,5374,4614,33749,0.92,29071
STAP-CIV-171,Civil,Relleno y compactación — Área 400 (Bombeo),m3,8216,6395,71479,0.83,53517
STAP-CIV-172,Civil,Acero de refuerzo — Área 200 (Separación),kg,33352,29832,46359,0.99,40762
STAP-CIV-173,Civil,Relleno y compactación — Área 600 (Servicios),m3,6263,5908,41586,1.0,37955
STAP-CIV-174,Civil,Diques y muros de contención — Área 200 (Separación),m3,388,296,113261,0.83,93577
STAP-CIV-175,Civil,Drenajes y obras hidráulicas — Área 100 (Recepción),m,2383,2268,82881,1.0,75795
STAP-CIV-176,Civil,Formaleta y encofrado — Área 400 (Bombeo),m2,1347,1203,31654,1.0,30486
STAP-CIV-177,Civil,Estructura metálica de soporte — Área 400 (Bombeo),kg,7627,7126,16474,1.0,17464
STAP-CIV-178,Civil,Pavimento rígido y vías internas — Área 200 (Separación),m2,2260,1892,96638,0.9,90099
STAP-CIV-179,Civil,Estructura metálica de soporte — Área 100 (Recepción),kg,28541,22631,68498,0.84,57297
STAP-CIV-180,Civil,Formaleta y encofrado — Área 300 (Tratamiento),m2,407,344,8689,1.0,7759
STAP-CIV-181,Civil,Estructura metálica de soporte — Área 200 (Separación),kg,13867,13146,42017,1.0,42797
STAP-CIV-182,Civil,Movimiento de tierras - excavación — Área 300 (Tratamiento),m3,14122,11656,87698,1.0,75004
STAP-CIV-183,Civil,Relleno y compactación — Área 500 (Inyección),m3,4718,3590,38310,0.95,30123
STAP-CIV-184,Civil,Relleno y compactación — Área 300 (Tratamiento),m3,4454,3691,47970,0.97,44180
STAP-CIV-185,Civil,Movimiento de tierras - excavación — Área 600 (Servicios),m3,6597,5997,35558,0.96,32985
STAP-CIV-186,Civil,Acero de refuerzo — Área 200 (Separación),kg,49612,46044,95751,1.0,91747
STAP-CIV-187,Civil,Acero de refuerzo — Área 200 (Separación),kg,36589,35593,59274,1.0,60514
STAP-CIV-188,Civil,Formaleta y encofrado — Área 600 (Servicios),m2,2152,2075,60859,1.0,60666
STAP-CIV-189,Civil,Estructura metálica de soporte — Área 600 (Servicios),kg,42316,38240,109598,0.98,94672
STAP-CIV-190,Civil,Relleno y compactación — Área 400 (Bombeo),m3,1905,1654,20593,1.0,17130
STAP-CIV-191,Civil,Pavimento rígido y vías internas — Área 600 (Servicios),m2,3118,2371,159521,0.95,126800
STAP-MEC-001,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 200 (Separación),und,2,2,178309,1.0,200138
STAP-MEC-002,Mecánica estática,Montaje de válvulas de proceso — Área 200 (Separación),und,112,61,145142,0.68,86456
STAP-MEC-003,Mecánica estática,Soldadura de tubería de proceso — Área 600 (Servicios),pulg_diam,2703,1384,190994,0.58,105393
STAP-MEC-004,Mecánica estática,Soldadura de tubería de proceso — Área 500 (Inyección),pulg_diam,1727,1376,76765,0.95,63718
STAP-MEC-005,Mecánica estática,Aislamiento térmico de tubería — Área 300 (Tratamiento),m2,1326,714,14984,0.59,8741
STAP-MEC-006,Mecánica estática,Prueba hidrostática de líneas — Área 400 (Bombeo),m,1662,813,7113,0.63,3698
STAP-MEC-007,Mecánica estática,Prueba hidrostática de líneas — Área 500 (Inyección),m,3098,2085,11122,0.76,8407
STAP-MEC-008,Mecánica estática,Aislamiento térmico de tubería — Área 500 (Inyección),m2,566,307,4047,0.68,2259
STAP-MEC-009,Mecánica estática,Aislamiento térmico de tubería — Área 500 (Inyección),m2,1152,885,9458,0.94,7513
STAP-MEC-010,Mecánica estática,Aislamiento térmico de tubería — Área 400 (Bombeo),m2,567,404,6294,0.78,4881
STAP-MEC-011,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 400 (Bombeo),und,1,0,93688,0.16,0
STAP-MEC-012,Mecánica estática,Tendido de tubería enterrada — Área 500 (Inyección),m,775,814,21204,0.79,12674
STAP-MEC-013,Mecánica estática,Soldadura de tubería de proceso — Área 100 (Recepción),pulg_diam,566,269,35777,0.64,16238
STAP-MEC-014,Mecánica estática,Tendido de tubería enterrada — Área 500 (Inyección),m,2495,1499,42914,0.78,27205
STAP-MEC-015,Mecánica estática,Prueba hidrostática de líneas — Área 200 (Separación),m,3073,2578,16809,0.96,15830
STAP-MEC-016,Mecánica estática,Soldadura de tubería de proceso — Área 600 (Servicios),pulg_diam,671,307,51144,0.64,24432
STAP-MEC-017,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 400 (Bombeo),und,1,1,93917,1.0,105516
STAP-MEC-018,Mecánica estática,Accesorios y soportería de tubería — Área 600 (Servicios),kg,9410,7927,12421,0.93,10744
STAP-MEC-019,Mecánica estática,Montaje de válvulas de proceso — Área 500 (Inyección),und,28,15,36843,0.71,20308
STAP-MEC-020,Mecánica estática,Accesorios y soportería de tubería — Área 500 (Inyección),kg,9202,5661,10122,0.68,6646
STAP-MEC-021,Mecánica estática,Accesorios y soportería de tubería — Área 500 (Inyección),kg,18955,11696,18765,0.75,12890
STAP-MEC-022,Mecánica estática,Aislamiento térmico de tubería — Área 500 (Inyección),m2,626,283,6266,0.58,2933
STAP-MEC-023,Mecánica estática,Montaje de válvulas de proceso — Área 200 (Separación),und,60,39,47285,0.77,31872
STAP-MEC-024,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 300 (Tratamiento),und,2,1,146483,0.65,69733
STAP-MEC-025,Mecánica estática,Tendido de tubería enterrada — Área 300 (Tratamiento),m,1943,1588,35848,1.0,28687
STAP-MEC-026,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 300 (Tratamiento),und,1,1,130426,1.0,144323
STAP-MEC-027,Mecánica estática,Aislamiento térmico de tubería — Área 600 (Servicios),m2,1337,1030,12902,0.87,9695
STAP-MEC-028,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 600 (Servicios),und,2,2,312450,1.0,314469
STAP-MEC-029,Mecánica estática,Prueba hidrostática de líneas — Área 300 (Tratamiento),m,1921,917,6262,0.66,3330
STAP-MEC-030,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 100 (Recepción),und,2,2,173747,1.0,186722
STAP-MEC-031,Mecánica estática,Aislamiento térmico de tubería — Área 600 (Servicios),m2,671,451,5314,0.79,3495
STAP-MEC-032,Mecánica estática,Soldadura de tubería de proceso — Área 300 (Tratamiento),pulg_diam,1613,1111,112652,0.81,86961
STAP-MEC-033,Mecánica estática,Accesorios y soportería de tubería — Área 500 (Inyección),kg,24946,11458,37170,0.65,16960
STAP-MEC-034,Mecánica estática,Tendido de tubería enterrada — Área 200 (Separación),m,407,224,10818,0.62,6167
STAP-MEC-035,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 400 (Bombeo),und,2,1,219597,0.58,118532
STAP-MEC-036,Mecánica estática,Prueba hidrostática de líneas — Área 100 (Recepción),m,2499,2043,8946,0.86,7526
STAP-MEC-037,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 600 (Servicios),und,2,1,157098,0.65,79106
STAP-MEC-038,Mecánica estática,Soldadura de tubería de proceso — Área 500 (Inyección),pulg_diam,491,264,20701,0.58,10848
STAP-MEC-039,Mecánica estática,Tendido de tubería enterrada — Área 300 (Tratamiento),m,1644,1183,28885,0.85,19938
